source,target,graph_geodesic,euclidean_chord,tortuosity,source_label,target_label
169,84,1.6694225689635511,1.2445002789527893,1.3414400922178351,169,84
147,79,1.7267566549923676,0.9245202453204905,1.867732657810838,147,79
303,166,1.7632566712511148,1.1105541392034095,1.5877268914740914,303,166
291,270,0.9702689720215321,0.8219361564805314,1.1804675635345578,291,270
142,84,1.3114138933316353,1.1987071198242232,1.0940236123098521,142,84
271,86,1.4947976631312831,1.2907131634321456,1.1581176247993434,271,86
135,117,1.791491991541286,1.5489388622895406,1.1565930942511309,135,117
282,229,1.9272496268656087,1.6007772356203005,1.2039461731343277,282,229
270,100,1.0369978986865622,0.866857061163731,1.1962732325147378,270,100
231,347,2.2878985943911356,1.4449636866307725,1.5833606169895091,231,347
213,11,2.087602682061412,1.4458358535024511,1.4438725371239889,213,11
24,220,0.47368389062759697,0.44603083984319897,1.0619980689992632,24,220
329,244,1.3717946484929526,1.2698393808582558,1.0802898926994906,329,244
18,113,1.2428721087160755,1.0769986608310138,1.1540145349457291,18,113
51,265,0.8465220410115001,0.6152865420806426,1.3758175794791732,51,265
253,197,2.3165475789761563,1.6353165090450261,1.4165744466977515,253,197
207,29,2.017935720831444,1.309166567686282,1.5413895913930835,207,29
285,330,1.929803282906786,1.3261878698589236,1.4551507571186528,285,330
252,248,1.2613729408832428,1.0326741012744243,1.2214627434992134,252,248
99,177,2.3196613195193025,1.6064313654330495,1.4439840813827647,99,177
230,150,1.4625494152175744,1.2418673517283036,1.1777017997792987,230,150
221,295,1.5704577515907043,1.1897353468561458,1.3200059624525828,221,295
228,191,2.0551414766162055,1.5000323796424828,1.3700647429397672,228,191
139,168,0.6767532514489298,0.5815399457224473,1.1637261660644809,139,168
243,80,1.7977012408100697,1.212703791662391,1.4823910448451356,243,80
173,158,1.4396693695555527,1.1580007861333905,1.2432369535453118,173,158
287,208,2.4855965023727182,1.7593231899914106,1.4128140392356525,287,208
239,77,2.3044766911728574,1.6138389873321675,1.4279470933977008,239,77
149,10,2.1682518818685312,1.4338488169613195,1.5121900274420796,149,10
47,217,1.9638139113077817,1.3750716128656062,1.4281539179005047,47,217
324,117,1.7584468873873678,1.4195806502800181,1.2387086898095623,324,117
38,277,1.567696185552035,1.0861049940405196,1.443411267008269,38,277
81,107,1.2411560410026132,1.039886246409138,1.193549818827286,81,107
95,292,1.3140591575902856,1.122992670257833,1.1701404580749264,95,292
273,311,1.6342842365376409,1.100627183650208,1.4848663205987427,273,311
306,204,2.06488318105847,1.4556905035017869,1.418490521227705,306,204
28,44,1.1771284258046435,1.0448521772741954,1.1265980503342872,28,44
3,239,0.5593040596977916,0.5428546430693029,1.0303016964826601,3,239
333,148,1.3890607700808424,1.0220279662796423,1.3591220748462125,333,148
320,217,1.4270553477854324,1.081500752357309,1.3195139667493807,320,217
65,253,2.3440861507194795,1.7784058018168984,1.3180828291971702,65,253
334,100,1.0874059830603056,0.9478354914801749,1.1472518098706899,334,100
110,192,2.0489378516936343,1.6348118218646979,1.2533172468477602,110,192
319,74,0.6469353738206893,0.5741992008568796,1.1266741104050046,319,74
273,38,1.3917035980904222,1.0218365263784706,1.3619630558938929,273,38
200,49,0.8601954261246152,0.7765704933205902,1.1076849217467013,200,49
264,219,1.4024270365773843,1.2383634461323838,1.1324841999797381,264,219
104,172,0.8133828845608613,0.7596734999178333,1.070700616315874,104,172
110,18,1.848555422754233,1.529767566295749,1.2083897341544583,110,18
26,50,0.4627107580433139,0.4548438820801063,1.0172957717431101,26,50
