a,b,rank,normalized_leading_coeff,omega,regulator,tamagawa,weak_bsd_holds,log_delta,log_cond
2,377,0,0.62357080302787999826535168559,1.5589270075696999956633792140,1.0,4,True,17.93292430190452,14.841881848546205
13,144,1,0.37031119849909114788941024781,1.7465700583915929575100868325,2.12021955099877,1,True,16.02362671720729,16.02362671720729
2,144,3,3.5620854002542971603630883958,1.8236602565125279190648710531,9.76630758808727,2,True,16.00810934168413,15.314962161124182
5,144,2,2.7392969352182205730478096535,1.8029908799109454500594532640,15.1930714999153,1,True,16.008944850125307,16.008944850125307
3,144,2,1.5564468201980692808604909534,1.8167876573841279042096187870,2.14175665201168,4,True,16.008245070027627,14.216485600799574
144,1597,1,2.1894395893824923037668247000,1.0891559878692565289038255032,20.1021673090716,1,True,20.98013786511972,19.593843503999828
8,610,0,0.14279663870929885443373110481,1.4279663870929885443373110481,1.0,1,True,18.89554732983434,18.89554732983434
5,377,0,1.3947223209858624709610051470,1.5496914677620694121788946078,1.0,1,True,17.933046248389445,17.933046248389445
34,610,1,0.41420707416238652217448538436,1.3731412082195891466705646370,3.01649292645908,1,True,18.91087084838388,18.91087084838388
5,233,1,2.8913294011474385513216840299,1.6727748874851537509129938879,17.2846294069745,1,True,16.970843547168897,16.970843547168897
55,233,2,1.7457606593129351592031495388,1.4234903964737565766950749882,4.08798135352722,3,True,17.34483280997973,15.95853844885984
2,233,1,2.1306782909295550373241513427,1.6865838951783869258363782598,3.15827498563924,4,True,16.97052432617454,14.331466996559282
233,144,1,0.26395233743141048586886515702,0.96150649753444483949337064123,2.74519556662647,1,True,20.523002916110663,20.523002916110663
233,3,2,5.5172359658632976352518229785,0.94938774052412824716209203942,29.0568106705138,2,True,20.512003246668492,19.818856066108548
34,144,2,1.2623558290853645758994107725,1.5874476029557543327015819683,3.97605510485800,2,True,16.25554256790266,15.562395387342713
233,2,0,0.094929646095426501815576780472,0.94929646095426501815576780472,1.0,1,True,20.512000578553717,17.739411856313936
233,13,1,1.2298304421471177594637835942,0.95029663317249866275996182059,12.9415426638040,1,True,20.51208862258275,20.51208862258275
233,377,1,4.2519873284318607465001911780,0.97788673099329385551811276549,43.4813889346150,1,True,20.58510350491219,20.58510350491219
34,5,2,1.5891429892627615558366812433,1.5484289669144640927314888605,5.13146880876760,2,True,14.742248922758998,14.049101742199053
5,89,1,2.7888642028968101590967224714,1.9393090236610756819064323844,14.3807107009275,1,True,15.04803350066154,15.04803350066154
13,34,0,0.10094529099892116077920072200,2.0189058199784232155840144400,1.0,8,True,13.369223455335854,4.382026634673881
2,5,0,0.59668712683326248907304393601,2.9834356341663124453652196800,1.0,2,True,9.333619388136354,8.640472207576408
377,610,1,1.7466523485515780761573689549,0.86250166880405612610412520799,20.2510025397804,1,True,22.001427987029434,19.228839264789652
21,377,2,4.8908235212032508551081877140,1.4996021175316803131515116071,32.6141412046914,1,True,17.94252287104276,17.94252287104276
2,610,2,5.1549527599520563967888052304,1.4403376899257034420669976663,35.7898900793047,1,True,18.895346687699217,18.895346687699217
144,8,1,2.2449909057048528110451903593,1.0721380707689949768598173188,5.23484560177642,4,True,19.068467647549046,15.197266636641157
34,2,1,0.90830418476200929153834480060,1.5408678141533980480942638445,5.89475733362021,1,True,14.738651374345844,14.738651374345844
3,5,1,0.21909467299461232406770419718,2.8580130876122858836496693035,0.127766310765716,6,True,9.435721418230584,6.950814768442584
1,34,2,0.55413194905356641992978528380,2.3142631195368787468020224168,0.598605171961234,4,True,13.121274785102674,9.655538882302947
144,5,0,0.10715077906203850544980304264,1.0715077906203850544980304264,1.0,1,True,19.06837949452438,17.68208513340449
-1706,6320,1,0.57161472701821916623395660050,0.42236269178325809849360427108,3.38343524498343,4,True,26.428773247791085,25.73562606723114
