a,b,rank,omega,reg,volume,scaled_reg,leading_coeff,conductor,plot_file
5,233,1,1.6727748874851537509129938879,17.2846294069745,439408.356448969,3826.11582065755,28.913294011474385513216840299,23460848,curve_5_233.png
2,233,1,1.6865838951783869258363782598,3.15827498563924,78980.0277516270,699.113970222890,21.306782909295550373241513427,1675240,curve_2_233.png
2,144,3,1.8236602565125279190648710531,9.76630758808727,974838.227970582,6176.75526162826,35.620854002542971603630883958,4479232,curve_2_144.png
5,144,2,1.8029908799109454500594532640,15.1930714999153,232723.265024209,4804.47105935231,27.392969352182205730478096535,8965952,curve_5_144.png
34,377,1,1.4571767764884481255446550982,4.35596617231826,145929.554163173,964.234216061985,12.694825490942907161324575959,31957592,curve_34_377.png
1597,2,2,0.58659134809846013966764549116,9.83089754855543,1.42266662554150e6,3108.80276972009,46.133755568199811509120988343,203650160,curve_1597_2.png
34,610,1,1.3731412082195891466705646370,3.01649292645908,113803.377002246,667.729173537824,4.1420707416238652217448538436,163262656,curve_34_610.png
34,233,1,1.5316261728653779955245400525,4.40887657899141,133692.062326588,975.946433852889,13.505501522632834516438492939,12984152,curve_34_233.png
2,377,0,1.5589270075696999956633792140,1.0,20489.422478398254,632.4555320336758,6.2357080302787999826535168559,2790920,curve_2_377.png
89,144,1,1.2586015062787318056673340499,2.33888172386898,105030.396602235,517.733539761688,2.9437200606692904381404309311,54075968,curve_89_144.png
8,144,1,1.7821039147165680106105323788,1.07933205379997,24175.3219200943,238.920334914471,3.8469637567120004704082803577,70240,curve_8_144.png
13,144,1,1.7465700583915929575100868325,2.12021955099877,49441.5471999908,469.330604454294,3.7031119849909114788941024781,9098560,curve_13_144.png
5,377,0,1.5496914677620694121788946078,1.0,20734.367683247874,632.4555320336758,13.947223209858624709610051470,61407728,curve_5_377.png
5,610,0,1.4341573627103942279701339438,1.0,24209.60289040389,632.4555320336758,1.4341573627103942279701339438,10047200,curve_5_610.png
5,987,2,1.3262367744126979572195770704,11.3931401451943,322539.261331196,3602.82725603156,30.220002873188714150174168469,210424504,curve_5_987.png
3,144,2,1.8167876573841279042096187870,2.14175665201168,32310.4541442394,677.282921417356,15.564468201980692808604909534,1493280,curve_3_144.png
13,377,0,1.5248784246208363956283412258,1.0,21414.643068540438,632.4555320336758,1.5248784246208363956283412258,61540336,curve_13_377.png
55,144,2,1.4356547783836453794455400030,7.33775357875698,177273.721048545,2320.40142179238,21.068961975888312280031843853,9802976,curve_55_144.png
21,144,2,1.6874691958601400236403374706,6.62537298389561,115856.366652960,2095.12689772562,22.360225642815634637073738361,3183552,curve_21_144.png
8,610,0,1.4279663870929885443373110481,1.0,24419.98034559443,632.4555320336758,1.4279663870929885443373110481,160779968,curve_8_610.png
8,21,0,2.2427018931496995587003998962,1.0,9900.06805774794,632.4555320336758,2.2427018931496995587003998962,55820,curve_8_21.png
2,13,2,2.6403548445247870711939816496,0.993629062153954,7097.10076341347,314.213098574351,5.2470666158376265422015803422,36760,curve_2_13.png
3,233,0,1.6819871438999267183296899067,1.0,17600.942959499378,632.4555320336758,1.6819871438999267183296899067,5863644,curve_3_233.png
377,13,1,0.84204535390383406547879105177,10.1732907357781,1.02064268593356e6,2251.95390169043,8.5663721979748616910596714581,3429361520,curve_377_13.png
144,5,0,1.0715077906203850544980304264,1.0,43370.11896556129,632.4555320336758,1.0715077906203850544980304264,47778444,curve_144_5.png
377,21,0,0.84235853203267040077212064911,1.0,70175.79176639224,632.4555320336758,3.3694341281306816030884825964,3429479024,curve_377_21.png
55,8,2,1.3705521371786611396432886887,7.32519802932206,194182.249113267,2316.43100844346,20.079131628688525579875211230,5337824,curve_55_8.png
89,377,0,1.2703225431088113198858389531,1.0,30856.969355028832,632.4555320336758,1.2703225431088113198858389531,106517744,curve_89_377.png
55,233,2,1.4234903964737565766950749882,4.08798135352722,100457.207745313,1292.73321094440,17.457606593129351592031495388,8525212,curve_55_233.png
377,34,1,0.84286540427017121011051557477,4.56962284544491,457559.039434663,1011.52913676818,3.8515770069881330086421046323,214361744,curve_377_34.png
-1706,6320,1,0.42236269178325809849360427108,3.38343524498343,1.34918035948271e6,748.955318288620,5.7161472701821916623395660050,150258963712,curve_-1706_6320.png
