a,b,rank,normalized_leading_coeff,omega,regulator,tamagawa,weak_bsd_holds,log_delta,log_cond
2,144,3,3.5620854002542971603630883958,1.8236602565125279190648710531,9.76630758808727,2,True,16.00810934168413,15.314962161124182
55,144,2,2.1068961975888312280031843853,1.4356547783836453794455400030,7.33775357875698,2,True,16.79134375157068,16.09819657101073
13,144,1,0.37031119849909114788941024781,1.7465700583915929575100868325,2.12021955099877,1,True,16.02362671720729,16.02362671720729
5,144,2,2.7392969352182205730478096535,1.8029908799109454500594532640,15.1930714999153,1,True,16.008944850125307,16.008944850125307
5,233,1,2.8913294011474385513216840299,1.6727748874851537509129938879,17.2846294069745,1,True,16.970843547168897,16.970843547168897
144,987,0,0.44762671543887130959400795037,1.1190667885971782739850198759,1.0,1,True,20.232151306875764,20.232151306875764
5,377,0,1.3947223209858624709610051470,1.5496914677620694121788946078,1.0,1,True,17.933046248389445,17.933046248389445
21,144,2,2.2360225642815634637073738361,1.6874691958601400236403374706,6.62537298389561,2,True,16.072120401197264,14.973508112529155
2,233,1,2.1306782909295550373241513427,1.6865838951783869258363782598,3.15827498563924,4,True,16.97052432617454,14.331466996559282
3,144,2,1.5564468201980692808604909534,1.8167876573841279042096187870,2.14175665201168,4,True,16.008245070027627,14.216485600799574
34,377,1,1.2694825490942907161324575959,1.4571767764884481255446550982,4.35596617231826,2,True,17.973067512403553,17.279920331843606
8,610,0,0.14279663870929885443373110481,1.4279663870929885443373110481,1.0,1,True,18.89554732983434,18.89554732983434
8,144,1,0.38469637567120004704082803577,1.7821039147165680106105323788,1.07933205379997,2,True,16.011703492228616,11.159673228308998
34,610,1,0.41420707416238652217448538436,1.3731412082195891466705646370,3.01649292645908,1,True,18.91087084838388,18.91087084838388
2,377,0,0.62357080302787999826535168559,1.5589270075696999956633792140,1.0,4,True,17.93292430190452,14.841881848546205
55,610,2,0.91568837015467832082612638933,1.3265565438971241600404508508,6.90274662144888,1,True,18.95948255906837,18.95948255906837
21,2,1,0.72434832629836962987531199630,1.7441919893137002596347715390,4.15291625426731,1,True,13.2953616067374,10.522772884497618
3,377,1,1.5898183304481182575358360035,1.5558507464195442817694580520,10.2183216102621,1,True,17.93294410619126,16.54664974507137
1,21,0,0.24983735248306727547234516286,2.4983735248306727547234516286,1.0,1,True,12.157806344120683,12.157806344120683
3,5,1,0.21909467299461232406770419718,2.8580130876122858836496693035,0.127766310765716,6,True,9.435721418230584,6.950814768442584
8,55,2,0.67034870320029995360070870804,2.0317399192714791049290761119,3.29938244970186,1,True,14.10785773188919,14.10785773188919
144,21,1,1.9343292573452886172047012157,1.0748331568869917022828754687,17.9965536506859,1,True,19.069319393057427,17.683025031937536
2,55,0,0.21264399760315305154650476962,2.1264399760315305154650476962,1.0,1,True,14.083483678732177,14.083483678732177
8,987,1,1.7820295820124973873842998103,1.3220958334782461832692313234,13.4788230693098,1,True,19.857843527214374,19.857843527214374
144,233,1,1.4397681380538820045587978770,1.1093071817654113436605273746,2.16316418289501,6,True,19.184080514220987,16.699173864432986
8,34,1,0.34837118052830758619487836745,2.1469885073267084566979641745,1.62260384412619,1,True,13.184699474986699,13.184699474986699
8,5,0,0.23119488702330991026861257039,2.3119488702330991026861257039,1.0,1,True,10.68207821491354,9.295783853793651
377,3,0,0.33666101776204538229132390731,0.84165254440511345572830976827,1.0,4,True,21.955619779465934,19.65303468647189
21,1,2,0.92016810856592060333852719456,1.7382969364702714004601322523,5.29350359688480,1,True,13.29317899401208,13.29317899401208
8,3,1,0.61110969701348557054781464553,2.2839609557413896007658423070,2.67565737267656,1,True,10.509332404693277,10.509332404693277
-1706,6320,1,0.57161472701821916623395660050,0.42236269178325809849360427108,3.38343524498343,4,True,26.428773247791085,25.73562606723114
