a,b,conductor,reason
a=2584,b=55,conductor=1104226119856,reason=too_large
a=1597,b=5,conductor=260672213872,reason=too_large
a=377,b=610,conductor=224377232,reason=too_large
a=144,b=610,conductor=351850176,reason=too_large
a=2584,b=377,conductor=276071553196,reason=too_large
a=233,b=1597,conductor=1911334256,reason=too_large
a=610,b=2,conductor=1117445056,reason=too_large
a=233,b=377,conductor=870957296,reason=too_large
a=1597,b=233,conductor=260695655920,reason=too_large
a=2584,b=21,conductor=276056250892,reason=too_large
a=1597,b=1,conductor=260672203504,reason=too_large
a=5,b=1597,conductor=1101784688,reason=too_large
a=610,b=4181,conductor=11039236376,reason=too_large
a=610,b=3,conductor=14526787888,reason=too_large
a=34,b=1597,conductor=552146072,reason=too_large
a=610,b=377,conductor=7294091864,reason=too_large
a=233,b=8,conductor=809585216,reason=too_large
a=377,b=233,conductor=3452741360,reason=too_large
a=144,b=1597,conductor=323219916,reason=too_large
a=610,b=8,conductor=7263405824,reason=too_large
a=2584,b=610,conductor=1104385560256,reason=too_large
a=1597,b=2,conductor=203650160,reason=too_large
a=1597,b=8,conductor=260672230720,reason=too_large
