a,b,rank,normalized_leading_coeff,omega,regulator,tamagawa,weak_bsd_holds,log_delta,log_cond
3,1597,2,3.1425388567724595268257602466,1.2276169993743317869331967400,4.26644854539878,6,True,20.8201914530488,18.3352848032608
34,144,2,1.2623558290853645758994107725,1.5874476029557543327015819683,3.97605510485800,2,True,16.25554256790266,15.562395387342713
3,377,1,1.5898183304481182575358360035,1.5558507464195442817694580520,10.2183216102621,1,True,17.93294410619126,16.54664974507137
2,144,3,3.5620854002542971603630883958,1.8236602565125279190648710531,9.76630758808727,2,True,16.00810934168413,15.314962161124182
5,377,0,1.3947223209858624709610051470,1.5496914677620694121788946078,1.0,1,True,17.933046248389445,17.933046248389445
8,233,0,0.99533108612229879020240255545,1.6588851435371646503373375924,1.0,6,True,16.97189870660744,13.18770907268918
5,144,2,2.7392969352182205730478096535,1.8029908799109454500594532640,15.1930714999153,1,True,16.008944850125307,16.008944850125307
34,610,1,0.41420707416238652217448538436,1.3731412082195891466705646370,3.01649292645908,1,True,18.91087084838388,18.91087084838388
2,610,2,5.1549527599520563967888052304,1.4403376899257034420669976663,35.7898900793047,1,True,18.895346687699217,18.895346687699217
5,610,0,0.14341573627103942279701339438,1.4341573627103942279701339438,1.0,1,True,18.895393268925837,16.122804546686055
3,5,1,0.21909467299461232406770419718,2.8580130876122858836496693035,0.127766310765716,6,True,9.435721418230584,6.950814768442584
5,2,0,0.25878393778151840516579712867,2.5878393778151840516579712867,1.0,1,True,9.182763604205949,6.410174881966167
377,2,1,1.9086494537074770450070509606,0.84161318212549367925981332813,11.3392321689115,2,True,21.95561914959819,15.572112514714183
1,89,0,0.19805590228176800610171005873,1.9805590228176800610171005873,1.0,1,True,15.045717030746232,15.045717030746232
1,3,1,0.32457590257935766607404718901,3.3267489191147559242273066185,0.487827471310529,2,True,8.281977058867758,7.588829878307813
2,377,0,0.62357080302787999826535168559,1.5589270075696999956633792140,1.0,4,True,17.93292430190452,14.841881848546205
144,5,0,0.10715077906203850544980304264,1.0715077906203850544980304264,1.0,1,True,19.06837949452438,17.68208513340449
5,1,1,0.21657019328822726747299725703,2.5453333352288043875803959506,0.850851989760152,1,True,9.039789270781144,9.039789270781144
34,5,2,1.5891429892627615558366812433,1.5484289669144640927314888605,5.13146880876760,2,True,14.742248922758998,14.049101742199053
144,2,1,1.6840634598555600363779710359,1.0708744400683227863427115388,7.86302948713630,2,True,19.068332024292165,17.12242187523685
2,3,1,0.22742262828890630639303376507,3.1380735450430275094334329001,1.44944103460002,2,True,8.389359819906353,6.779921907472252
5,34,1,0.36409594231832706854250494974,2.2207910641154188697544295757,1.63948760512216,1,True,13.137039159369495,10.364450437129715
144,3,0,0.42843435855984350028879553555,1.0710858963996087507219888389,1.0,1,True,19.068343326932798,19.068343326932798
89,13,1,0.35150545759265854423572258194,1.2135516253380638627630531025,2.89650188960637,1,True,17.626409041011236,17.626409041011236
34,377,1,1.2694825490942907161324575959,1.4571767764884481255446550982,4.35596617231826,2,True,17.973067512403553,17.279920331843606
2,1597,2,2.5910811272813742320450258672,1.2285401847582266179436752778,5.27268289516979,4,True,20.820190349377995,18.517605256383952
89,1,2,0.71618707470153409392191613816,1.2077767281339930914429566110,5.92979694026758,1,True,17.62480176739936,17.62480176739936
2,610,2,5.1549527599520563967888052304,1.4403376899257034420669976663,35.7898900793047,1,True,18.895346687699217,18.895346687699217
5,21,1,0.67247251768872541565571826805,2.3564245723550687800959855610,2.85378333589791,1,True,12.198604830682653,12.198604830682653
21,2,1,0.72434832629836962987531199630,1.7441919893137002596347715390,4.15291625426731,1,True,13.2953616067374,10.522772884497618
-1706,6320,1,0.57161472701821916623395660050,0.42236269178325809849360427108,3.38343524498343,4,True,26.428773247791085,25.73562606723114
