a,b,rank,omega,reg,volume,scaled_reg,leading_coeff,conductor,plot_file
34,610,1,1.3731412082195891466705646370,3.01649292645908,79662.3639015724,1430.84822900962,4.1420707416238652217448538436,163262656,curve_34_610.png
3,233,0,1.6819871438999267183296899067,1.0,17600.942959499378,632.4555320336758,1.6819871438999267183296899067,5863644,curve_3_233.png
5,610,0,1.4341573627103942279701339438,1.0,24209.60289040389,632.4555320336758,1.4341573627103942279701339438,10047200,curve_5_610.png
13,377,0,1.5248784246208363956283412258,1.0,21414.643068540438,632.4555320336758,1.5248784246208363956283412258,61540336,curve_13_377.png
8,144,1,1.7821039147165680106105323788,1.07933205379997,16922.7253440660,511.972146245295,3.8469637567120004704082803577,70240,curve_8_144.png
89,987,1,1.2041107384670211113038085034,9.15330522178341,314359.337469643,4341.79389293224,22.043186220031317559916032743,232979512,curve_89_987.png
5,377,0,1.5496914677620694121788946078,1.0,20734.367683247874,632.4555320336758,13.947223209858624709610051470,61407728,curve_5_377.png
2,144,3,1.8236602565125279190648710531,9.76630758808727,292451.468391175,6176.75526162826,35.620854002542971603630883958,4479232,curve_2_144.png
13,144,1,1.7465700583915929575100868325,2.12021955099877,34609.0830399936,1005.70843811634,3.7031119849909114788941024781,9098560,curve_13_144.png
8,34,1,2.1469885073267084566979641745,1.62260384412619,17528.0797533562,769.668583137540,3.4837118052830758619487836745,532160,curve_8_34.png
144,8,1,1.0721380707689949768598173188,5.23484560177642,226769.018824667,2483.10529513924,22.449909057048528110451903593,3981888,curve_144_8.png
2,610,2,1.4403376899257034420669976663,35.7898900793047,859039.222627232,13581.3083829201,51.549527599520563967888052304,160747712,curve_2_610.png
21,1,2,1.7382969364702714004601322523,5.29350359688480,87232.1471505769,2008.74338021397,9.2016810856592060333852719456,593136,curve_21_1.png
13,5,2,2.0123582035935458313352498585,4.88404854092410,60055.2078025046,1853.36611105707,9.8284551480776995437861008438,151408,curve_13_5.png
1,377,2,1.5620018872140871958374152222,17.5401022889413,357973.017573036,6656.00083504648,27.397672877254431835079589558,61399792,curve_1_377.png
8,5,0,2.3119488702330991026861257039,1.0,9315.900235141295,632.4555320336758,2.3119488702330991026861257039,10892,curve_8_5.png
13,233,1,1.6354533155816005800318751994,8.94386540959115,166506.131751142,4242.44786704542,14.627274338231432264458632337,23593456,curve_13_233.png
233,610,1,0.98945767140628117202667641897,3.47373055394444,176678.200836577,1647.73507922743,3.4371093449987200888811644825,60644048,curve_233_610.png
34,8,0,1.5556215896578097805590563268,1.0,20576.58770861861,632.4555320336758,3.1112431793156195611181126535,1271552,curve_34_8.png
55,21,1,1.3838504639931529603736233693,5.23034253612728,135998.176071146,2480.96930355356,7.2380119454628617627736501494,2709628,curve_55_21.png
34,233,1,1.5316261728653779955245400525,4.40887657899141,93584.4436286119,2091.31378682762,13.505501522632834516438492939,12984152,curve_34_233.png
144,2,1,1.0708744400683227863427115388,7.86302948713630,341424.025201084,3729.76237326245,16.840634598555600363779710359,27300672,curve_144_2.png
5,2,0,2.5878393778151840516579712867,1.0,7435.439520402719,632.4555320336758,2.5878393778151840516579712867,608,curve_5_2.png
5,987,2,1.3262367744126979572195770704,11.3931401451943,322539.261331196,4323.39270723787,30.220002873188714150174168469,210424504,curve_5_987.png
5,610,0,1.4341573627103942279701339438,1.0,24209.60289040389,632.4555320336758,1.4341573627103942279701339438,10047200,curve_5_610.png
34,377,1,1.4571767764884481255446550982,4.35596617231826,102150.687914221,2066.21617727568,12.694825490942907161324575959,31957592,curve_34_377.png
2,610,2,1.4403376899257034420669976663,35.7898900793047,859039.222627232,13581.3083829201,51.549527599520563967888052304,160747712,curve_2_610.png
2,5,0,2.9834356341663124453652196800,1.0,5594.328107838207,632.4555320336758,5.9668712683326248907304393601,5656,curve_2_5.png
34,144,2,1.5874476029557543327015819683,3.97605510485800,78566.0421075924,1508.80682804291,12.623558290853645758994107725,5736704,curve_34_144.png
5,34,1,2.2207910641154188697544295757,1.63948760512216,16552.8970713548,777.677254170112,3.6409594231832706854250494974,31712,curve_5_34.png
-1706,6320,1,0.42236269178325809849360427108,3.38343524498343,944426.251637899,1604.90425347561,5.7161472701821916623395660050,150258963712,curve_-1706_6320.png
