a,b,conductor,reason
a=610,b=233,conductor=7275118424,reason=too_large
a=377,b=610,conductor=224377232,reason=too_large
a=1597,b=3,conductor=11848736680,reason=too_large
a=987,b=34,conductor=6837422976,reason=too_large
a=1597,b=610,conductor=2037757424,reason=too_large
a=1597,b=2,conductor=203650160,reason=too_large
a=610,b=34,conductor=14527283392,reason=too_large
a=377,b=2584,conductor=6313776704,reason=too_large
a=610,b=3,conductor=14526787888,reason=too_large
a=1597,b=377,conductor=52146720560,reason=too_large
a=377,b=1597,conductor=906213040,reason=too_large
a=233,b=2584,conductor=3694045760,reason=too_large
a=3,b=2584,conductor=1442244960,reason=too_large
a=1597,b=144,conductor=260681161024,reason=too_large
a=2584,b=89,conductor=276057058732,reason=too_large
a=233,b=5,conductor=809568368,reason=too_large
a=2584,b=13,conductor=276056221516,reason=too_large
a=610,b=8,conductor=7263405824,reason=too_large
a=377,b=34,conductor=214361744,reason=too_large
a=377,b=144,conductor=3438246464,reason=too_large
a=610,b=1597,conductor=7814280344,reason=too_large
a=610,b=21,conductor=7263487256,reason=too_large
