a,b,rank,omega,reg,volume,scaled_reg,leading_coeff,conductor,plot_file
5,233,1,1.6727748874851537509129938879,17.2846294069745,307585.849514278,10931.7594875930,28.913294011474385513216840299,23460848,curve_5_233.png
13,610,2,1.4176089010879632162156355382,4.95834133309046,122858.394840935,1567.96520291215,14.057977616842800467213324940,2513872,curve_13_610.png
3,144,2,1.8167876573841279042096187870,2.14175665201168,32310.4541442394,677.282921417356,15.564468201980692808604909534,1493280,curve_3_144.png
3,1597,2,1.2276169993743317869331967400,4.26644854539878,140968.475921731,1349.16949233724,31.425388567724595268257602466,91814868,curve_3_1597.png
5,144,2,1.8029908799109454500594532640,15.1930714999153,232723.265024209,4804.47105935231,27.392969352182205730478096535,8965952,curve_5_144.png
34,21,1,1.5821611606266642026245024618,1.96774566573315,39142.5221230441,1244.51163192822,6.2265815326289086852233162488,1352984,curve_34_21.png
2,610,2,1.4403376899257034420669976663,35.7898900793047,859039.222627232,11317.7569857667,51.549527599520563967888052304,160747712,curve_2_610.png
2,144,3,1.8236602565125279190648710531,9.76630758808727,182782.167744484,6176.75526162826,35.620854002542971603630883958,4479232,curve_2_144.png
2,144,3,1.8236602565125279190648710531,9.76630758808727,182782.167744484,6176.75526162826,35.620854002542971603630883958,4479232,curve_2_144.png
8,377,1,1.5404264512478161113483084361,4.17406789485731,87590.8727271804,2639.91233118667,19.289533783627466395284687958,15358124,curve_8_377.png
1,5,0,3.1028852900097802524984584202,1.0,5171.896657405426,632.4555320336758,3.1028852900097802524984584202,10864,curve_1_5.png
377,2,1,0.84161318212549367925981332813,11.3392321689115,797149.666228426,7171.56011424231,19.086494537074770450070509606,5792720,curve_377_2.png
233,610,1,0.98945767140628117202667641897,3.47373055394444,176678.200836577,2196.98010563657,3.4371093449987200888811644825,60644048,curve_233_610.png
3,8,1,2.7366213923163407107322662261,0.791686648053312,5263.87011893650,500.706600198515,4.3330932341478241946894702020,14688,curve_3_8.png
13,233,1,1.6354533155816005800318751994,8.94386540959115,166506.131751142,5656.59715606056,14.627274338231432264458632337,23593456,curve_13_233.png
2,377,0,1.5589270075696999956633792140,1.0,20489.422478398254,632.4555320336758,6.2357080302787999826535168559,2790920,curve_2_377.png
144,8,1,1.0721380707689949768598173188,5.23484560177642,226769.018824667,3310.80706018566,22.449909057048528110451903593,3981888,curve_144_8.png
1,8,1,2.8978029939593622549662760281,2.54930242941561,15116.9760747496,1612.32042431079,7.3873762124684378495913360063,27712,curve_1_8.png
8,233,0,1.6588851435371646503373375924,1.0,18094.585706466325,632.4555320336758,9.9533108612229879020240255545,533764,curve_8_233.png
144,2,1,1.0708744400683227863427115388,7.86302948713630,341424.025201084,4973.01649768327,16.840634598555600363779710359,27300672,curve_144_2.png
5,13,0,2.4757113633679184942408915251,1.0,8124.212217600787,632.4555320336758,2.4757113633679184942408915251,81008,curve_5_13.png
89,5,1,1.2097283684373392776759203565,24.9029859063185,847338.563349356,15750.0312006078,30.125848509668724481077395440,45128816,curve_89_5.png
34,13,0,1.5667417866638465304065419922,1.0,20285.533135139107,632.4555320336758,3.1334835733276930608130839844,1294232,curve_34_13.png
2,5,0,2.9834356341663124453652196800,1.0,5594.328107838207,632.4555320336758,5.9668712683326248907304393601,5656,curve_2_5.png
3,5,1,2.8580130876122858836496693035,0.127766310765716,778.877588933691,80.8065100513107,2.1909467299461232406770419718,1044,curve_3_5.png
144,13,1,1.0731816417358389017053406248,9.98472157734253,431688.787769402,6314.89239740629,10.715419894647715218883213672,47793996,curve_144_13.png
2,5,0,2.9834356341663124453652196800,1.0,5594.328107838207,632.4555320336758,5.9668712683326248907304393601,5656,curve_2_5.png
2,144,3,1.8236602565125279190648710531,9.76630758808727,182782.167744484,6176.75526162826,35.620854002542971603630883958,4479232,curve_2_144.png
233,1,1,0.94920511083297413488148697776,2.72564776567190,150636.728444649,1723.85100777442,7.7615963685187192583113111240,32382320,curve_233_1.png
3,13,1,2.5870317735536853548222195306,0.296451698933251,2205.62511155110,187.492516971116,4.6015797867857521630594371776,6228,curve_3_13.png
-1706,6320,1,0.42236269178325809849360427108,3.38343524498343,944426.251637899,2139.87233796748,5.7161472701821916623395660050,150258963712,curve_-1706_6320.png
